post_id,topic,format,post_time,likes,shares,saves,comments,retention_rate
1,Friendship,Long,Morning,2970,1326,1422,235,0.7
2,Self Improvement,Long,Night,1469,435,509,89,0.7
3,Self Improvement,Short,Night,3290,972,1855,408,0.51
4,Loneliness,Long,Night,1297,514,369,204,0.76
5,Self Improvement,Short,Evening,1269,210,509,110,0.53
6,Dating,Short,Afternoon,3930,1999,879,496,0.51
7,Social Anxiety,Long,Afternoon,3911,1353,1193,261,0.86
8,Dating,Long,Afternoon,1697,728,468,82,0.71
9,Social Anxiety,Long,Night,2543,872,973,357,0.79
10,Self Improvement,Short,Morning,988,208,445,91,0.52
11,Friendship,Short,Evening,2299,891,856,311,0.61
12,Loneliness,Short,Morning,2316,672,808,211,0.61
13,Mental Health,Short,Evening,3429,1297,953,356,0.51
14,Mental Health,Short,Evening,1729,485,699,125,0.65
15,Social Anxiety,Long,Morning,1252,330,463,123,0.7
16,Self Improvement,Long,Evening,4076,1198,1526,400,0.84
17,Loneliness,Long,Night,4298,1333,1596,520,0.73
18,Social Anxiety,Short,Morning,4263,1493,1211,183,0.57
19,Social Anxiety,Long,Morning,4270,1110,957,287,0.75
20,Social Anxiety,Long,Morning,1879,565,832,150,0.73
21,Social Anxiety,Short,Morning,891,260,351,141,0.52
22,Dating,Short,Night,2669,1102,855,310,0.52
23,Friendship,Long,Night,3203,912,1235,359,0.7
24,Career Stress,Long,Night,3220,1180,1578,453,0.85
25,Loneliness,Long,Evening,2407,646,767,125,0.73
26,Social Anxiety,Long,Evening,4186,1168,1649,510,0.78
27,Loneliness,Short,Afternoon,3350,1199,749,316,0.53
28,Career Stress,Short,Night,1611,604,607,161,0.49
29,Loneliness,Long,Night,1629,407,379,76,0.68
30,Dating,Long,Afternoon,3729,1500,1004,248,0.73
31,Loneliness,Long,Night,3960,1461,1608,227,0.75
32,Friendship,Long,Afternoon,1292,373,478,100,0.74
33,Social Anxiety,Long,Evening,2916,863,1233,312,0.83
34,Social Anxiety,Long,Night,1228,568,579,67,0.88
35,Social Anxiety,Long,Morning,1984,930,979,195,0.87
36,Career Stress,Long,Afternoon,1700,775,829,237,0.89
37,Dating,Short,Evening,2172,1084,655,237,0.55
38,Self Improvement,Long,Evening,2502,684,1165,209,0.77
39,Self Improvement,Long,Morning,2412,419,969,106,0.77
40,Friendship,Short,Afternoon,982,394,377,119,0.48
41,Loneliness,Long,Afternoon,3671,994,1127,243,0.85
42,Friendship,Long,Afternoon,3026,914,794,175,0.68
43,Dating,Long,Afternoon,2594,1125,600,173,0.7
44,Mental Health,Short,Evening,4627,1002,1485,361,0.5
45,Mental Health,Long,Morning,1990,745,862,228,0.77
46,Self Improvement,Short,Evening,2590,715,1641,269,0.51
47,Friendship,Short,Afternoon,2328,1004,1138,288,0.59
48,Social Anxiety,Long,Afternoon,1827,638,564,93,0.74
49,Dating,Short,Afternoon,2682,1361,712,366,0.67
50,Loneliness,Long,Night,4142,1540,1639,251,0.84
51,Career Stress,Short,Night,3441,1130,1475,277,0.55
52,Self Improvement,Short,Afternoon,1006,318,499,126,0.55
53,Career Stress,Short,Evening,4188,1099,1335,185,0.54
54,Self Improvement,Short,Night,3979,1093,1858,472,0.5
55,Social Anxiety,Short,Night,2241,979,1013,290,0.64
56,Social Anxiety,Long,Morning,1008,367,391,67,0.69
57,Self Improvement,Short,Evening,1251,395,541,112,0.57
58,Self Improvement,Short,Evening,2015,538,833,231,0.63
59,Self Improvement,Short,Afternoon,3318,965,1406,474,0.54
60,Dating,Short,Night,2452,1604,962,178,0.64
61,Dating,Short,Afternoon,2050,1077,791,384,0.57
62,Social Anxiety,Long,Night,1868,744,871,244,0.78
63,Loneliness,Long,Evening,1141,372,353,88,0.74
64,Mental Health,Long,Night,2188,808,786,230,0.72
65,Social Anxiety,Short,Night,3663,1345,1008,492,0.66
66,Self Improvement,Short,Evening,4044,1132,1366,251,0.6
67,Social Anxiety,Long,Evening,4382,1084,1030,420,0.73
68,Friendship,Short,Evening,2908,803,1356,186,0.54
69,Dating,Long,Night,1040,525,304,101,0.73
70,Career Stress,Long,Evening,3507,1108,1020,257,0.69
